timestamp,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,buy_signal,sell_signal
01/04/2022 0:00,45688.8,45805,45651.35,45771.01,332.04647,,,,,45850.51,FALSE,FALSE
01/04/2022 0:05,45771,45876.83,45748.64,45788.95,262.66692,,,,,45783.57,FALSE,FALSE
01/04/2022 0:10,45788.96,45788.96,45705.14,45777.79,214.21479,,,,,45729.9,FALSE,FALSE
01/04/2022 0:15,45777.79,45833.67,45744.72,45749.41,173.09722,,,,,45671.97,FALSE,FALSE
01/04/2022 0:20,45749.41,45800,45678.24,45723.5,246.34669,,,,,45726.01,FALSE,FALSE
01/04/2022 0:25,45723.49,45756.79,45701.97,45729.82,162.18847,,,,,45733.98,FALSE,FALSE
01/04/2022 0:30,45729.83,45891.94,45729.82,45878.11,278.83268,,,,,45606.65,FALSE,FALSE
01/04/2022 0:35,45878.12,45888.56,45828.5,45846.47,103.4786,,,,,45625.32,FALSE,FALSE
01/04/2022 0:40,45846.48,45881.95,45781.61,45809.13,162.81465,45771.645,,,,45600,FALSE,FALSE
01/04/2022 0:45,45809.13,45839.35,45765.28,45822.49,112.49075,45785.09,,,,45581.97,FALSE,FALSE
01/04/2022 0:50,45822.49,45881.95,45818,45855.72,160.86818,45785.09,,,,45546.19,FALSE,FALSE
01/04/2022 0:55,45855.71,45880.57,45783.82,45820,154.90783,45785.09,,,,45582.01,FALSE,FALSE
01/04/2022 1:00,45819.99,45820,45729.69,45746.62,134.43821,45785.09,,,,45685,FALSE,FALSE
01/04/2022 1:05,45746.62,45769.44,45685,45690.45,212.35873,45788.47,,,,45729.43,FALSE,FALSE
01/04/2022 1:10,45690.44,45736.37,45651,45694.52,156.61499,45771.47,,,,45648.13,FALSE,FALSE
01/04/2022 1:15,45694.52,45716.19,45595.28,45641.23,276.98678,45741.92,,,,45682.9,FALSE,FALSE
01/04/2022 1:20,45641.23,45835.48,45635.1,45806.62,186.81377,45738.615,,,,45643.42,FALSE,FALSE
01/04/2022 1:25,45806.62,45869.9,45804.01,45858.09,135.12328,45738.615,,,,45729.49,FALSE,FALSE
01/04/2022 1:30,45858.08,45879,45815.36,45866.75,129.30095,45738.615,,,,45727,FALSE,FALSE
01/04/2022 1:35,45866.75,45958,45849.6,45946.93,174.1093,45776.64,,,,45757,FALSE,FALSE
01/04/2022 1:40,45946.93,45955,45866.57,45909.99,121.72318,45776.64,,,,45768.43,FALSE,FALSE
01/04/2022 1:45,45910,45948.99,45866.88,45905.11,115.60828,45776.64,,,,45745.46,FALSE,FALSE
01/04/2022 1:50,45905.11,45949,45904.16,45948.99,77.34101,45776.64,,,,45723.49,FALSE,FALSE
01/04/2022 1:55,45949,45962.08,45915,45957.27,101.91107,45778.68,,,,45743.85,FALSE,FALSE
