entry_time,exit_time,entry_price,exit_price,quantity,profit,profit_pct,exit_reason,fee_entry,fee_exit
2022-04-01 17:50:00,2022-04-01 21:55:00,45204.99,46109.0898,0.22119903242975103,198.572099953004,1.9857209995300398,Take Profit,0.69995100342976,0.7139500234983552
2022-04-02 07:45:00,2022-04-03 08:15:00,46541.2,45793.5,0.21911463928466635,-165.2482477070207,-1.620307687071038,Sell Signal,0.713850077491286,0.7023818363857659
2022-04-04 18:25:00,2022-04-04 21:55:00,46173.56,45896.98,0.2172806595102516,-61.49584514303206,-0.6129159792770573,Sell Signal,0.7022835098115322,0.698076825875018
2022-04-05 11:00:00,2022-04-05 15:45:00,46717.16,46599.0,0.21343613413146245,-26.613806439940163,-0.26688994656730036,Sell Signal,0.6979791019600695,0.6962137290074414
2022-04-06 11:45:00,2022-04-06 14:55:00,45336.7,45276.04,0.2193480796881358,-14.696955649882511,-0.14777917652998077,Sell Signal,0.6961162659077975,0.6951848700918257
2022-04-07 13:30:00,2022-04-07 20:05:00,43411.45,43368.9,0.22873739894571848,-11.12227013284064,-0.11200091453872633,Sell Signal,0.6950875510223478,0.6944062566795881
2022-04-08 12:45:00,2022-04-08 20:40:00,43656.1,42782.977999999996,0.22720079589871023,-199.7487452289588,-2.013719039667229,Stop Loss,0.6943090466083579,0.6804228656761907
2022-04-09 18:15:00,2022-04-09 21:10:00,42520.42,42391.18,0.22857172864327754,-30.899197593427743,-0.31790454985043387,Sell Signal,0.6803276131426734,0.6782597704279835
2022-04-09 23:40:00,2022-04-10 14:10:00,42445.55,42657.74,0.22824698625031833,47.072008150080364,0.48584205980741957,Sell Signal,0.6781648207066041,0.6815550416674758
2022-04-10 21:35:00,2022-04-11 07:20:00,42720.01,41865.6098,0.2278823806590248,-196.05204168021555,-2.0137190396672295,Stop Loss,0.6814596306404143,0.667830438027606
2022-04-12 14:35:00,2022-04-13 00:00:00,40098.23,40047.53,0.23789327512908823,-13.395818662433157,-0.14042081598534295,Sell Signal,0.6677369483105623,0.6668926650771291
2022-04-13 06:30:00,2022-04-13 17:15:00,40179.42,39992.41,0.23707919080361786,-45.66667455289826,-0.4793711444859299,Sell Signal,0.666799306639109,0.6636957740760562
2022-04-13 20:45:00,2022-04-13 22:20:00,40352.39,41159.4378,0.23493133622195037,188.26034026538036,1.985720999530047,Take Profit,0.6636028631714488,0.6768749204348778
2022-04-15 09:20:00,2022-04-15 21:50:00,40021.44,40821.868800000004,0.24157771597956593,191.99866537581875,1.9857209995300682,Take Profit,0.6767801645789268,0.6903157678705054
2022-04-15 22:10:00,2022-04-16 12:35:00,40422.9,40426.44,0.24392790452498975,-0.5169939241714019,-0.005242833761600689,Sell Signal,0.6902191304276247,0.690279575762366
2022-04-17 15:25:00,2022-04-17 23:45:00,40371.17,40349.56,0.24422765884877942,-6.65775615131497,-0.06751982417648841,Sell Signal,0.6901829433860255,0.689813500206485
2022-04-18 18:50:00,2022-04-19 00:05:00,39002.57,39782.6214,0.2526269177632416,195.66875267408795,1.9857209995300364,Take Profit,0.6897169330761551,0.7035112717376784
2022-04-19 03:05:00,2022-04-19 21:00:00,40834.48,41651.1696,0.24608502669227533,199.55418818545513,1.9857209995300293,Take Profit,0.7034127870535629,0.7174810427946342
2022-04-20 16:05:00,2022-04-21 17:15:00,41541.66,42372.493200000004,0.24669920078146163,203.5167776056951,1.9857209995300262,Take Profit,0.717380602479465,0.7317282145290543
2022-04-21 17:35:00,2022-04-22 01:00:00,42265.33,41420.0234,0.247290080393638,-210.48455611517784,-2.0137190396672335,Stop Loss,0.731625779749455,0.7169932641544657
2022-04-22 10:40:00,2022-04-22 15:50:00,40564.86,40422.93,0.25246794960801267,-37.2640535777864,-0.36383415124079116,Sell Signal,0.7168928921235264,0.7143845977973757
2022-04-23 04:30:00,2022-04-24 17:20:00,39630.01,39683.86,0.2574832957412696,12.435935710473132,0.12186383115875223,Sell Signal,0.7142845909541631,0.7152551742374598
2022-04-25 18:20:00,2022-04-26 01:45:00,38919.31,39697.6962,0.2625046705688096,202.88539981435497,1.985720999530053,Take Profit,0.7151550455220764,0.729458146432518
2022-04-26 05:10:00,2022-04-26 16:05:00,40200.2,40481.2,0.2591870649684781,71.36775498769384,0.6849046240764753,Sell Signal,0.7293560294402069,0.7344542390081369
2022-04-27 11:45:00,2022-04-27 15:15:00,38398.58,39166.5516,0.2732063167111996,208.33130230113056,1.9857209995300305,Take Profit,0.7343514226118235,0.74903845106406
2022-04-27 16:35:00,2022-04-27 20:15:00,38993.99,38841.67,0.2743769316469296,-43.2880358979055,-0.4045686352647542,Sell Signal,0.748933593020974,0.7460080764249818
2022-04-27 20:30:00,2022-04-28 22:05:00,39195.29,39979.1958,0.27186343876837155,211.60860110040994,1.9857209995300333,Take Profit,0.7459036426046497,0.7608217154567427
2022-04-28 23:40:00,2022-04-29 07:05:00,40104.11,39760.16,0.27097871296629467,-94.71803452151835,-0.8715217287647197,Sell Signal,0.7607152078721097,0.7541909888893766
2022-04-30 08:35:00,2022-04-30 18:50:00,38695.8,38595.6,0.278393228922403,-29.401219707000564,-0.2729056016146363,Sell Signal,0.7540854095414866,0.7521327594338248
